BusinessName,Address,CITY,State,ZIP,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,Latitude,Longitude,Neighbourhood
99 RESTAURANT AND PUB,29 Austin,Charlestown,MA,2129,Active,FS,Eating & Drinking,12/7/06 13:34,42.374884,-71.067065,Charlestown
A & B Burgers,97 Beverly,Boston,MA,2114,Active,FS,Eating & Drinking,7/16/18 12:05,0,0,West End
A & N PIZZA,1409 Centre,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,42.29413,-71.13674,West Roxbury
A @ Time,433 Cambridge,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,11/27/19 11:08,0,0,Allston
A K's Take Out & Delivery,1427 Tremont,Mission Hill,MA,2120,Active,FT,Eating & Drinking w/ Take Out,10/31/07 15:33,42.331858,-71.096333,Mission Hill
A La Esh,65 Northern,Boston,MA,2210,Active,FS,Eating & Drinking,5/18/21 14:13,42.352583,-71.04586,Downtown
A. Butter,633 Centre,Jamaica Plain,MA,2130,Active,FS,Eating & Drinking,12/16/19 8:18,42.313746,-71.114645,Jamaica Plain
Abby Lane,253 Tremont,Boston,MA,2116,Active,FS,Eating & Drinking,5/1/12 14:10,42.35044,-71.06535,Downtown
ABE & LOUIE'S,793 Boylston,Boston,MA,2116,Active,FS,Eating & Drinking,4/4/11 15:19,42.34924,-71.0816,Back Bay
ABIGAIL'S TEA ROOM @CONGRESS BRIDGE,306 Congress,Boston,MA,2210,Active,FS,Eating & Drinking,1/17/12 12:47,0,0,South Boston Waterfront
AC Hotel by Marriot,225 Albany,Roxbury,MA,2118,Active,FS,Eating & Drinking,4/25/16 9:21,0,0,Roxbury
AC Hotel by Marriott,395 Chestnut Hill,Brighton,MA,2467,Active,FS,Eating & Drinking,6/13/16 14:08,0,0,Brighton
Acapulco Mexican Restaurant,466 CENTRE,JAMAICA PLAIN,MA,2130,Active,FS,Eating & Drinking,12/7/06 13:34,0,0,Jamaica Plain
Aceituna,100 Federal,Boston,MA,2110,Active,FS,Eating & Drinking,5/30/18 12:57,0,0,Downtown
Aceituna Grill,99 Seaport,Boston,MA,2210,Active,FS,Eating & Drinking,6/20/16 11:02,0,0,South Boston Waterfront
Achilitos Taqueria,160 Chestnut Hill,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,8/27/20 11:57,0,0,Brighton
Achilitos Taqueria,38 Hyde Park,Jamaica Plain,MA,2130,Active,FS,Eating & Drinking,1/24/18 11:26,0,0,Jamaica Plain
Adams B & B,12 Edgerly,Boston,MA,2115,Active,FS,Eating & Drinking,12/7/06 13:35,42.34606,-71.08786,Back Bay
AFC Sushi @ Emerson College,120 Boylston,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,10/16/19 14:09,0,0,Back Bay
AFC Sushi @ Shaws #1208,246 Border,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,6/5/18 10:32,42.376441,-71.040039,East Boston
AFC Sushi @ Shaws #3696,50 Causeway,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,9/13/19 15:01,0,0,West End
AFC Sushi @ Walgreens #15390,10 School,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,4/24/13 13:58,42.357327,-71.058968,Downtown
AFC Sushi @Liberty Mutual Ins.,157 Berkeley,Boston,MA,2116,Active,FS,Eating & Drinking,9/7/18 10:07,0,0,Back Bay
AFC SUSHI @SIMMONS COLLEGE,300 Fenway,Boston,MA,2115,Active,FS,Eating & Drinking,8/20/10 10:13,42.33931,-71.09996,Fenway
AFC Sushi @Star Market #3577,75 Spring,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,1/31/18 11:31,42.27871,-71.1633,West Roxbury
Air France Lounge,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,12/31/14 11:30,0,0,East Boston
Ajeen,1219 Commonwealth,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2/27/19 9:45,42.350755,-71.13087,Allston
AK's Takeout,309 D,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,6/17/20 14:27,42.339981,-71.04924,South Boston
AL DENTE RISTORANTE,109 Salem,Boston,MA,2113,Active,FS,Eating & Drinking,12/7/06 13:34,42.36421,-71.05536,Downtown
Aladdin @ Bunker Hill Comm. College,250 Rutherford,Charlestown,MA,2129,Active,FS,Eating & Drinking,7/6/18 8:14,0,0,Charlestown
Alcove,131 Beverly,Boston,MA,2114,Active,FS,Eating & Drinking,9/13/17 13:15,42.36703,-71.060086,Downtown
ALEX PIZZA,1252 Washington,Roxbury,MA,2118,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,42.342301,-71.067378,South End
ALEX'S CHIMIS,358 CENTRE,JAMAICA PLAIN,MA,2130,Active,FS,Eating & Drinking,12/7/06 13:35,0,0,Jamaica Plain
ALFREDO'S,229 Brighton,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,42.353679,-71.135669,Allston
ALFREDO'S ITALIAN KITCHEN,243 Dorchester,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,42.332855,-71.051318,South Boston
Ali Baba,99A Cambridge,Charlestown,MA,2129,Active,FS,Eating & Drinking,1/23/20 13:03,0,0,Charlestown
ALI ROTI RESTAURANT,1035 Tremont,Mission Hill,MA,2120,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,42.33666,-71.08563,Roxbury
Alibi,215 Charles,Boston,MA,2114,Active,FS,Eating & Drinking,12/14/11 8:20,42.36203,-71.070362,West End
All Spice,41 Worcester,Roxbury,MA,2118,Active,FS,Eating & Drinking,3/10/20 10:15,42.33587,-71.0742,Roxbury
ALLIS ROTI + MEAT MARKET,1188 Blue Hill,Mattapan,MA,2126,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,42.28377,-71.09129,Mattapan
Alma Cantina,15 Union,Boston,MA,2108,Active,FS,Eating & Drinking,6/25/21 12:45,42.360853,-71.056685,Downtown
Alma Gaucha,401 D,Boston,MA,2210,Active,FS,Eating & Drinking,2/4/20 13:53,0,0,South Boston Waterfront
Aloft Seaport Hotel -Banquet Kitchen,401 D,Boston,MA,2210,Active,FS,Eating & Drinking,1/26/16 13:46,0,0,South Boston Waterfront
Aloft Seaport Hotel -Re Fuel Bar,401 D,Boston,MA,2210,Active,FT,Eating & Drinking w/ Take Out,1/26/16 13:51,0,0,South Boston Waterfront
Aloft Seaport Hotel -WXYZ Bar,401 D,Boston,MA,2210,Active,FS,Eating & Drinking,1/26/16 13:57,0,0,South Boston Waterfront
AL'S CAFÉ,27 DRYDOCK,BOSTON,MA,2210,Active,FT,Eating & Drinking w/ Take Out,4/14/21 11:40,42.344333,-71.027957,South Boston Waterfront
Al's South St. Express,179 Essex,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,12/13/07 10:39,42.352051,-71.057585,Downtown
AL'S STATE ST. CAFE,112 State,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,0,0,Downtown
Alta Strada Pizza Pronto,201 Brookline,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,4/17/19 14:01,42.344649,-71.102201,Fenway
Alta Strada/AM2-A03/29,100 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,5/9/19 15:00,42.364539,-71.021817,East Boston
Alumni 1,2597 Beacon,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,6/3/10 9:48,42.336249,-71.166434,Brighton
Alumni 2,2597 Beacon,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,6/3/10 9:51,42.336249,-71.166434,Brighton
Alumni 3,2597 Beacon,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,6/3/10 10:06,42.336249,-71.166434,Brighton
Alumni 4,2597 Beacon,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,6/3/10 10:09,42.336249,-71.166434,Brighton
Alumni 5,2597 Beacon,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,6/3/10 10:11,42.336249,-71.166434,Brighton
Al-Wadi Restaurant,1249 VFW,West Roxbury,MA,2132,Active,FS,Eating & Drinking,7/28/10 8:29,42.27724,-71.17261,West Roxbury
Amateras,112 South,Boston,MA,2111,Active,FS,Eating & Drinking,2/27/15 11:24,42.350987,-71.057143,Downtown
AMC South Bay 12 (Concession),21 District,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,10/31/16 13:23,0,0,Dorchester
AMC South Bay 12 (MacGuffins),21 District,Dorchester,MA,2125,Active,FS,Eating & Drinking,10/31/16 13:32,0,0,Dorchester
AMC Theatres Boston Common 19,175 Tremont,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,42.35315,-71.06403,Downtown
Amelia's Taqueria,1076 Boylston,Boston,MA,2215,Active,FS,Eating & Drinking,8/15/18 14:17,42.346932,-71.08797,Back Bay
Amelia's Taqueria,180 Brighton,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,4/4/13 13:29,42.353014,-71.133631,Allston
Amelia's Taqueria,309 Huntington,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,11/7/14 8:52,42.341196,-71.087659,Fenway
Amelia's Taqueria III,1936 Beacon,Brighton,MA,2135,Active,FS,Eating & Drinking,5/2/17 14:14,42.336353,-71.149931,Brighton
American Airlines Club Boston,200 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,3/23/18 11:31,0,0,East Boston
Americano Espresso Bar,155 Meridian,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2/13/07 8:24,42.373853,-71.038885,East Boston
America's Test Kitchen,21 Dry Dock,Boston,MA,2210,Active,FS,Eating & Drinking,12/14/17 10:35,42.344254,-71.030938,South Boston Waterfront
Amorino,249 Newbury,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,6/23/14 14:26,42.349755,-71.082793,Back Bay
AMRHEIN'S,80 BROADWAY,SOUTH BOSTON,MA,2127,Active,FS,Eating & Drinking,12/7/06 13:34,0,0,South Boston
ANCHOVIES RESTAURANT,433 COLUMBUS ,BOSTON,MA,2116,Active,FS,Eating & Drinking,12/7/06 13:36,0,0,Back Bay
Ancient & Honorable Artillery Company,200 Faneuil Hall Market,Boston,MA,2109,Active,FS,Eating & Drinking,3/24/07 11:32,0,0,Downtown
Andalus Pizza & Cafe,153 SUTHERLAND,BRIGHTON,MA,2135,Active,FT,Eating & Drinking w/ Take Out,8/17/07 9:15,0,0,Brighton
ANDREW SQUARE HOUSE OF PIZZA,395 Dorchester,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,9/25/18 10:15,42.33003,-71.05655,South Boston
Angela's Cafe,131 Lexington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/2/07 13:36,42.37853,-71.035,East Boston
Angela's Cafe II,1012 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/2/16 11:02,42.387115,-71.006309,East Boston
Anh Hong Restaurant,291 Adams,Boston,MA,2122,Active,FS,Eating & Drinking,7/6/16 8:37,0,0,Dorchester
Anna Hand Cut Donuts,2056 Centre,West Roxbury,MA,2132,Active,FS,Eating & Drinking,12/7/06 13:33,42.280014,-71.158191,West Roxbury
Anna's Cafe,267 Medford,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,10/16/14 8:21,42.38129,-71.061549,Charlestown
Anna's Taqueria,242 Cambridge,Boston,MA,2114,Active,FS,Eating & Drinking,6/9/08 13:08,42.36093,-71.0671,Beacon Hill
Anna's Taqueria,800 Boylston,Boston,MA,2199,Active,FT,Eating & Drinking w/ Take Out,6/26/17 12:19,42.347296,-71.081457,Back Bay
Anoush Ella,35 Newton,Roxbury,MA,2118,Active,FS,Eating & Drinking,9/6/16 14:05,0,0,Roxbury
Anoush' Ella,201 Brookline,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,4/9/19 12:28,42.344649,-71.102201,Fenway
Anshur Restauruant,291 Roxbury,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,9/29/08 13:44,42.33041,-71.0943,Roxbury
Anthem,100-199 Faneuil Hall Market,Boston,MA,2109,Active,FS,Eating & Drinking,4/28/10 8:44,0,0,Downtown
ANTHONY'S CAFE,252 Commercial,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,42.36399,-71.05137,Downtown
ANTICO FORNO,93 Salem,Boston,MA,2113,Active,FS,Eating & Drinking,12/7/06 13:34,42.363742,-71.055591,Downtown
Antonios Bacaro,1 Fairmount,Hyde Park,MA,2136,Active,FS,Eating & Drinking,7/6/15 12:12,42.25558,-71.12118,Hyde Park
Antonio's Hi-Fi,1508 Dorchester,Dorchester,MA,2122,Active,FT,Eating & Drinking w/ Take Out,9/19/14 13:46,42.29929,-71.06025,Dorchester
ANTONIO'S ITALIANO CUCINA,286 Cambridge,Boston,MA,2114,Active,FS,Eating & Drinking,12/7/06 13:34,42.360951,-71.06816,Beacon Hill
APizza- K1,80 Causeway,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2/26/20 10:42,0,0,West End
APM Coffee,99 Kneeland,Boston,MA,2111,Active,FS,Eating & Drinking,5/7/19 8:49,0,0,Downtown
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,11A Allstate,Dorchester,MA,2125,Active,FS,Eating & Drinking,10/25/11 14:06,42.326047,-71.063611,Dorchester
23-Apr,222 Newbury,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,7/5/19 13:40,42.34975,-71.08108,Back Bay
Aqua Pazza,135 Richmond,Boston,MA,2113,Active,FS,Eating & Drinking,12/17/15 15:39,0,0,North End
AQUITAINE,569 Tremont,Roxbury,MA,2118,Active,FS,Eating & Drinking,12/7/06 13:34,42.343801,-71.07235,Back Bay
Arboretum Grill,4021 Washington,Roslindale,MA,2131,Active,FS,Eating & Drinking,10/14/11 8:30,42.29201,-71.12244,Jamaica Plain
ARCHIE'S NEW YORK DELI,93 Arch,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,42.355042,-71.059128,Downtown
Ariana Restaurant,123 Antwerp,Brighton,MA,2135,Active,FS,Eating & Drinking,10/30/14 8:58,0,0,Brighton
ARIS BARBEQUE,200 FANEUIL HALL MARKET,BOSTON,MA,2109,Active,FT,Eating & Drinking w/ Take Out,4/12/07 10:00,0,0,Downtown
Arizona B B Q,2360 Washington,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,3/4/08 14:08,42.32937,-71.08446,Roxbury
Article 24,458 Western,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,9/29/15 11:28,42.36195,-71.14221,Brighton
ARTU,6 Prince,Boston,MA,2113,Active,FS,Eating & Drinking,12/7/06 13:34,42.36411,-71.05372,Downtown
Arya Trattoria,253 Hanover,Boston,MA,2113,Active,FS,Eating & Drinking,2/1/13 13:42,42.363223,-71.054789,Downtown
Ascia Foods,100 Malcolm X,Roxbury,MA,2119,Active,FS,Eating & Drinking,1/21/20 8:15,42.330905,-71.093373,Roxbury
Ashburton Cafe,1 Ashburton,Boston,MA,2114,Active,FS,Eating & Drinking,4/6/07 13:51,42.359276,-71.062359,Downtown
ASHMONT GRILL,555 Talbot,Dorchester,MA,2124,Active,FS,Eating & Drinking,12/7/06 13:36,42.286091,-71.064728,Dorchester
Asia Wok,44 Harvard,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/24/18 11:56,0,0,Allston
ASIAN GARDEN RESTAURANT INC.,28 HARRISON ,BOSTON,MA,2111,Active,FS,Eating & Drinking,12/7/06 13:35,0,0,Downtown
Asian Thai Eatery,1064 River,Hyde Park,MA,2136,Active,FS,Eating & Drinking,12/21/17 11:17,42.258784,-71.117741,Hyde Park
Assaggio,29 Prince,Boston,MA,2113,Active,FS,Eating & Drinking,8/9/17 10:46,0,0,North End
Assembly on 2,100 Summer,Boston,MA,2110,Active,FS,Eating & Drinking,8/30/17 11:25,42.353633,-71.057366,Downtown
Asta,47 Massachusetts,Boston,MA,2215,Active,FS,Eating & Drinking,8/29/12 10:49,0,0,Fenway
At Union,174 HARVARD ,BOSTON,MA,2134,Active,FS,Eating & Drinking,7/10/09 9:05,0,0,Allston
Athan's European Bakery,407 Washington,Brighton,MA,2135,Active,FS,Eating & Drinking,12/7/06 13:36,0,0,Brighton
ATLANTIC FISH COMPANY,761 Boylston,Boston,MA,2116,Active,FS,Eating & Drinking,4/4/11 14:50,42.34935,-71.08121,Back Bay
Atlantico,50 Malden,Roxbury,MA,2118,Active,FS,Eating & Drinking,12/10/19 15:38,0,0,Roxbury
ATRIUM CAFE/HARVARD MED.SCHOOL,260 Longwood,Boston,MA,2115,Active,FS,Eating & Drinking,12/7/06 13:36,42.336981,-71.10415,Fenway
Au Bon Pain,101 Merrimac,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,42.36384,-71.06166,Downtown
Au Bon Pain,133 Brookline,Boston,MA,2215,Active,FS,Eating & Drinking,3/21/14 11:27,0,0,Fenway
Au Bon Pain,17 Blackfan,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,2/10/14 10:02,42.337388,-71.106281,Fenway
Au Bon Pain,26 PARK PLAZA,BOSTON,MA,2110,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,0,0,Downtown
Au Bon Pain,75 Francis,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,42.336106,-71.10748,Mission Hill
Au Bon Pain,800 Washington,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,3/19/14 13:52,42.349591,-71.063586,Chinatown
Au Bon Pain Store # 44,90 OLIVER,BOSTON,MA,2110,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,0,0,Downtown
Au Bon Pain Store 511,640 Atlantic,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,42.350021,-71.055941,Downtown
Audubon,838 Beacon,Boston,MA,2215,Active,FS,Eating & Drinking,4/1/14 12:57,42.34741,-71.10321,Fenway
AUNTIE VIE'S BAKERY & CAFE,538 Dudley,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,5/13/19 13:49,42.321647,-71.072046,Dorchester
Avana Express Bar,40 Harrison,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,5/13/13 14:02,42.351624,-71.061017,Chinatown
Avana Market Place,40 Harrison,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,4/3/09 10:23,42.351664,-71.060968,Chinatown
Azama Grill,44 Harvard,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/30/09 8:22,42.354462,-71.13227,Allston
B & G OYSTERS LTD.,550 Tremont,Roxbury,MA,2116,Active,FS,Eating & Drinking,12/7/06 13:35,42.343895,-71.071263,Back Bay
B C High School (Faculty Food Serv.),150 William T Morrissey,Dorchester,MA,2125,Active,FS,Eating & Drinking,10/27/09 14:58,42.316565,-71.046878,Dorchester
B Good,369 Huntington,Boston,MA,2115,Active,FS,Eating & Drinking,10/5/16 14:29,42.340178,-71.090231,Roxbury
B Good Burger,227 Washington,Boston,MA,2108,Active,FS,Eating & Drinking,4/15/10 13:11,42.357884,-71.058215,Downtown
B I DEACONESS/WEST END CAFE,1 DEACONESS,BOSTON,MA,2215,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,0,0,Fenway
B U-100 Baystate Dining Cafe/Multi Purpose,100 Bay State,Boston,MA,2215,Active,FS,Eating & Drinking,9/20/11 14:52,0,0,Fenway
B. Good,100 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,5/9/19 14:53,42.364539,-71.021817,East Boston
B. Good,50 Northern,Boston,MA,2210,Active,FS,Eating & Drinking,4/15/15 9:01,0,0,South Boston Waterfront
B. Good,84 Summer,Boston,MA,2110,Active,FS,Eating & Drinking,4/27/12 14:14,42.353955,-71.05802,Downtown
B. Good Burger,200 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/14/18 14:27,0,0,East Boston
B. Good Burger,665 Boylston,Boston,MA,2116,Active,FS,Eating & Drinking,2/25/14 10:31,42.34999,-71.07875,Back Bay
B. U. Einsteins Bagels,685 Commonwealth,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,42.350117,-71.104278,Fenway
B.H.C.C. Coffee Shop,250 Rutherford,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,8/28/18 10:50,0,0,Charlestown
B.U. George Sherman Union,775 COMMONWEALTH ,BOSTON,MA,2215,Active,FS,Eating & Drinking,12/7/06 13:34,0,0,Fenway
B.U. HARRY AGGANIS ARENA(FS),925 COMMONWEALTH ,BOSTON,MA,2215,Active,FS,Eating & Drinking,12/7/06 13:36,0,0,Fenway
B.U. HARRY AGGANIS ARENA/STANDS,925 COMMONWEALTH ,BOSTON,MA,2215,Active,FS,Eating & Drinking,12/7/06 13:36,0,0,Fenway
B.U. HEALTHY BLENDS,915 COMMONWEALTH ,BOSTON,MA,2215,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,0,0,Fenway
B.U. PUB,225 BAY STATE,BOSTON,MA,2215,Active,FS,Eating & Drinking,12/7/06 13:34,0,0,Fenway
B.U. SCHOOL OF LAW CART,765 COMMONWEALTH ,BOSTON,MA,2215,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,0,0,Fenway
B.U. SCHOOL OF MANAGEMENT,595 Commonwealth,Boston,MA,2215,Active,FS,Eating & Drinking,12/7/06 13:35,42.349583,-71.099785,Fenway
B.U. WARREN TOWER CAFE,700 COMMONWEALTH ,BOSTON,MA,2115,Active,FS,Eating & Drinking,12/7/06 13:34,0,0,Fenway
B.U. WEST CAMPUS,278 Babcock,Allston,MA,2134,Active,FS,Eating & Drinking,12/7/06 13:34,42.3532,-71.1221,Allston
B.U.Dining Srvices-1st fl.,100 Bay State,Boston,MA,2215,Active,FS,Eating & Drinking,9/20/11 15:16,0,0,Fenway
B.U.Dining Srvices-2nd fl.,100 Bay State,Boston,MA,2215,Active,FS,Eating & Drinking,9/20/11 15:19,0,0,Fenway
BACCO RISTORANTE & BAR,107 Salem,Boston,MA,2113,Active,FS,Eating & Drinking,12/7/06 13:35,42.36418,-71.05538,Downtown
Back Bay Sandwich,31 Saint James,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,6/22/11 10:14,42.35091,-71.07152,Back Bay
Back Bay Social Club,867 Boylston,Boston,MA,2116,Active,FS,Eating & Drinking,6/18/10 12:55,42.34874,-71.083445,Back Bay
Back Deck,10 West,Boston,MA,2111,Active,FS,Eating & Drinking,9/15/11 12:56,42.354426,-71.062191,Downtown
BACKWOODS PIZZA,539 Dudley,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,1/14/21 9:15,42.321739,-71.072511,Dorchester
Bailey and Sage,100 Federal,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,1/22/18 8:10,42.35477,-71.05613,Downtown
Bain Capital (40th Fl),200 Clarendon,Boston,MA,2116,Active,FS,Eating & Drinking,5/6/11 11:09,42.34921,-71.07513,Back Bay
Balance Patch,1031 Commonwealth,Boston,MA,2215,Active,FS,Eating & Drinking,11/16/16 10:19,0,0,Fenway
BALE RESTAURANT,1052 Dorchester,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,42.314791,-71.056611,Dorchester
Bamboo Thai Restaurant,1616 Commonwealth,Boston,MA,2135,Active,FS,Eating & Drinking,6/17/16 11:47,0,0,Brighton
Bambu,287 Adams,Dorchester,MA,2122,Active,FS,Eating & Drinking,12/12/16 11:23,0,0,Dorchester
Ban Toi Restaurant,1035 Dorchester,Dorchester,MA,2125,Active,FS,Eating & Drinking,5/8/19 10:15,42.315341,-71.056869,Dorchester
BANGKOK BISTRO,433 Washington,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,3/7/13 10:48,42.349345,-71.156794,Brighton
Bangkok Pinto,1041 Tremont,Mission Hill,MA,2120,Active,FT,Eating & Drinking w/ Take Out,9/18/15 12:17,42.336599,-71.085748,Roxbury
Banh Mi Huong Que,696 Washington,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,11/9/20 12:11,42.351119,-71.062679,Chinatown
Banh Mi Oi,1759 Centre,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,6/23/20 11:26,0,0,West Roxbury
