"","INCIDENT_NUMBER","OFFENSE_CODE","OFFENSE_CODE_GROUP","OFFENSE_DESCRIPTION","DISTRICT","REPORTING_AREA","SHOOTING","OCCURRED_ON_DATE","YEAR","MONTH","DAY_OF_WEEK","HOUR","UCR_PART","STREET","Lat","Long","Location","Neighbourhood"
"30538","I152075024",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","C11",398,"","9/9/15 20:00",2015,9,"Wednesday",20,"Part Three","TALBOT AVE",42.29019621,-71.07159012,"(42.29019621, -71.07159012)","Dorchester"
"28981","I152076716",3125,"Warrant Arrests","WARRANT ARREST","D4",167,"","9/15/15 13:32",2015,9,"Tuesday",13,"Part Three","HARRISON AVE",42.33954199,-71.06940877,"(42.33954199, -71.06940877)","Roxbury"
"7989","I152099697",2914,"Violations","VAL - OPERATING W/O AUTHORIZATION LAWFUL","B3",429,"","12/2/15 22:49",2015,12,"Wednesday",22,"Part Two","WILLOWWOOD ST",42.28385993,-71.08599096,"(42.28385993, -71.08599096)","#N/A"
"13536","I152093570",3410,"Towed","TOWED MOTOR VEHICLE","D4",153,"","11/10/15 17:29",2015,11,"Tuesday",17,"Part Three","W NEWTON ST",42.34225888,-71.07749696,"(42.34225888, -71.07749696)","South End"
"49369","I152054156",706,"Auto Theft","AUTO THEFT - MOTORCYCLE / SCOOTER","E5",910,"","6/27/15 21:00",2015,6,"Saturday",21,"Part One","BEECHLAND CIR",42.27685989,-71.13757584,"(42.27685989, -71.13757584)","Roslindale"
"24541","I152081507",3115,"Investigate Person","INVESTIGATE PERSON","E13",582,"","10/1/15 0:23",2015,10,"Thursday",0,"Part Three","GAY HEAD ST",42.32332676,-71.10525868,"(42.32332676, -71.10525868)","Jamaica Plain"
"6216","I152101699",3201,"Property Lost","PROPERTY - LOST","B3",444,"","12/9/15 11:06",2015,12,"Wednesday",11,"Part Three","ESMOND ST",42.29861988,-71.08511004,"(42.29861988, -71.08511004)","Dorchester"
"17983","I152088628",3410,"Towed","TOWED MOTOR VEHICLE","D4",142,"","10/25/15 16:13",2015,10,"Sunday",16,"Part Three","BOYLSTON ST",42.34815229,-71.08450821,"(42.34815229, -71.08450821)","Back Bay"
"29394","I152076282",615,"Larceny From Motor Vehicle","LARCENY THEFT OF MV PARTS & ACCESSORIES","E5",675,"","9/13/15 17:00",2015,9,"Sunday",17,"Part One","FLETCHER ST",42.28988441,-71.13757868,"(42.28988441, -71.13757868)","Roslindale"
"53241","I152049531",2647,"Other","THREATS TO DO BODILY HARM","A1",119,"","6/15/15 10:30",2015,6,"Monday",10,"Part Two","BOYLSTON ST",42.35241815,-71.06525499,"(42.35241815, -71.06525499)","Downtown"
"28825","I152076881",2629,"Harassment","HARASSMENT","B3",465,"","9/15/15 22:56",2015,9,"Tuesday",22,"Part Two","BLUE HILL AVE",42.28482577,-71.09137369,"(42.28482577, -71.09137369)","#N/A"
"41237","I152063283",616,"Larceny","LARCENY THEFT OF BICYCLE","E5",562,"","7/24/15 22:00",2015,7,"Friday",22,"Part One","BEXLEY RD",42.28743327,-71.12510302,"(42.28743327, -71.12510302)","Roslindale"
"41","I172065681",1102,"Fraud","FRAUD - FALSE PRETENSE / SCHEME","B2",258,"","7/25/15 2:00",2015,7,"Saturday",2,"Part Two","MONADNOCK ST",42.31633855,-71.06879992,"(42.31633855, -71.06879992)","Dorchester"
"14426","I152092558",413,"Aggravated Assault","ASSAULT - AGGRAVATED - BATTERY","D4",619,"","11/7/15 14:52",2015,11,"Saturday",14,"Part One","HUNTINGTON AVE",42.34221544,-71.08577075,"(42.34221544, -71.08577075)","Fenway"
"40159","I152064477",522,"Residential Burglary","BURGLARY - RESIDENTIAL - NO FORCE","A1",61,"","7/26/15 3:30",2015,7,"Sunday",3,"Part One","BEVERLY ST",42.36658726,-71.06019881,"(42.36658726, -71.06019881)","Downtown"
"7284","I152100502",1106,"Confidence Games","FRAUD - CREDIT CARD / ATM FRAUD","A7",10,"","12/3/15 0:00",2015,12,"Thursday",0,"Part Two","BENNINGTON ST",42.386761,-71.0066065,"(42.38676100, -71.00660650)","East Boston"
"43782","I152060446",613,"Larceny","LARCENY SHOPLIFTING","B2",602,"","7/22/15 2:58",2015,7,"Wednesday",2,"Part One","HUNTINGTON AVE",42.33450285,-71.1036802,"(42.33450285, -71.10368020)","Mission Hill"
"51656","I152051579",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","C11",403,"","6/22/15 10:20",2015,6,"Monday",10,"Part Two","OWENCROFT RD",42.28001265,-71.06919375,"(42.28001265, -71.06919375)","Dorchester"
"28502","I152077239",3801,"Motor Vehicle Accident Response","M/V ACCIDENT - OTHER","D4",NA,"","9/16/15 6:00",2015,9,"Wednesday",6,"Part Three","",NA,NA,"(0.00000000, 0.00000000)","0"
"11473","I152095855",3125,"Warrant Arrests","WARRANT ARREST","A1",127,"","11/18/15 19:45",2015,11,"Wednesday",19,"Part Three","WASHINGTON ST",42.34788341,-71.06437688,"(42.34788341, -71.06437688)","#N/A"
"42802","I152061553",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","C6",186,"","7/24/15 5:00",2015,7,"Friday",5,"Part Two","MASSACHUSETTS AVE",42.32553801,-71.06579592,"(42.32553801, -71.06579592)","Dorchester"
"43042","I152061276",522,"Residential Burglary","BURGLARY - RESIDENTIAL - NO FORCE","B2",326,"","7/24/15 16:26",2015,7,"Friday",16,"Part One","LAWRENCE AVE",42.31161123,-71.076256,"(42.31161123, -71.07625600)","Dorchester"
"12301","I152094956",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","A1",70,"","11/15/15 18:18",2015,11,"Sunday",18,"Part One","BEACON ST",42.35678442,-71.06670845,"(42.35678442, -71.06670845)","Beacon Hill"
"6134","I152101778",3115,"Investigate Person","INVESTIGATE PERSON","C6",228,"","12/9/15 16:11",2015,12,"Wednesday",16,"Part Three","E BROADWAY",42.33575801,-71.02820306,"(42.33575801, -71.02820306)","South Boston"
"33523","I152071765",615,"Larceny From Motor Vehicle","LARCENY THEFT OF MV PARTS & ACCESSORIES","D4",627,"","8/28/15 23:50",2015,8,"Friday",23,"Part One","KILMARNOCK ST",42.34353469,-71.09980109,"(42.34353469, -71.09980109)","Fenway"
"21812","I152084473",541,"Commercial Burglary","BURGLARY - COMMERICAL - ATTEMPT","C11",374,"","10/11/15 3:20",2015,10,"Sunday",3,"Part One","TENEAN ST",42.2923855,-71.04547099,"(42.29238550, -71.04547099)","Dorchester"
"39895","I152064740",2405,"Disorderly Conduct","DISORDERLY CONDUCT","A1",95,"","8/5/15 16:42",2015,8,"Wednesday",16,"Part Two","ATLANTIC AVE",42.35746445,-71.05098164,"(42.35746445, -71.05098164)","Downtown"
"9640","I152097866",1402,"Vandalism","VANDALISM","A1",112,"","11/25/15 18:24",2015,11,"Wednesday",18,"Part Two","WASHINGTON ST",42.35512339,-71.0608798,"(42.35512339, -71.06087980)","Downtown"
"19742","I152086734",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","A7",21,"","10/19/15 2:52",2015,10,"Monday",2,"Part Three","PARIS ST",42.37442697,-71.03527876,"(42.37442697, -71.03527876)","East Boston"
"9326","I152098214",3114,"Investigate Property","INVESTIGATE PROPERTY","C11",337,"","11/27/15 14:31",2015,11,"Friday",14,"Part Three","RICHFIELD ST",42.30597541,-71.07011898,"(42.30597541, -71.07011898)","Dorchester"
"26510","I152079405",3114,"Investigate Property","INVESTIGATE PROPERTY","D14",786,"","9/23/15 23:03",2015,9,"Wednesday",23,"Part Three","CUMMINGS RD",42.34041044,-71.14372963,"(42.34041044, -71.14372963)","Brighton"
"20960","I152085412",3201,"Property Lost","PROPERTY - LOST","C6",171,"","8/28/15 0:00",2015,8,"Friday",0,"Part Three","OLD COLONY AVE",42.32775523,-71.05256837,"(42.32775523, -71.05256837)","Dorchester"
"14403","I152092584",619,"Larceny","LARCENY ALL OTHERS","D4",626,"","11/6/15 11:00",2015,11,"Friday",11,"Part One","QUEENSBERRY ST",42.34255587,-71.09807867,"(42.34255587, -71.09807867)","Fenway"
"5967","I152101980",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","A1",71,"","12/10/15 10:19",2015,12,"Thursday",10,"Part Three","HANCOCK ST",42.35889144,-71.06437558,"(42.35889144, -71.06437558)","Beacon Hill"
"45221","I152058860",1841,"Drug Violation","DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP","C6",200,"","7/16/15 17:12",2015,7,"Thursday",17,"Part Two","W BROADWAY",42.34128751,-71.05467933,"(42.34128751, -71.05467933)","South Boston"
"48306","I152055346",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","B3",NA,"","7/5/15 2:16",2015,7,"Sunday",2,"Part Three","",NA,NA,"(0.00000000, 0.00000000)","0"
"43244","I152061046",2647,"Other","THREATS TO DO BODILY HARM","D4",130,"","7/23/15 23:44",2015,7,"Thursday",23,"Part Two","BOYLSTON ST",42.34980175,-71.07840978,"(42.34980175, -71.07840978)","Back Bay"
"51530","I152051725",613,"Larceny","LARCENY SHOPLIFTING","D4",134,"","6/22/15 18:10",2015,6,"Monday",18,"Part One","BOYLSTON ST",42.35095909,-71.0741278,"(42.35095909, -71.07412780)","Back Bay"
"28799","I152076912",301,"Robbery","ROBBERY - STREET","A1",173,"","9/16/15 1:00",2015,9,"Wednesday",1,"Part One","ATLANTIC AVE",42.35218278,-71.0556788,"(42.35218278, -71.05567880)","Downtown"
"26836","I152079051",3125,"Warrant Arrests","WARRANT ARREST","C11",345,"","9/22/15 19:47",2015,9,"Tuesday",19,"Part Three","MOUNT IDA RD",42.30262184,-71.06273013,"(42.30262184, -71.06273013)","Dorchester"
"12049","I152095239",301,"Robbery","ROBBERY - STREET","E18",522,"","11/16/15 17:33",2015,11,"Monday",17,"Part One","HYDE PARK AVE",42.2518944,-71.1253531,"(42.25189440, -71.12535310)","Hyde Park"
"15150","I152091735",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","C11",358,"","11/4/15 22:17",2015,11,"Wednesday",22,"Part Two","GREENBRIER ST",42.29642169,-71.07045327,"(42.29642169, -71.07045327)","Dorchester"
"5027","I152103022",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","D4",156,"","12/14/15 6:36",2015,12,"Monday",6,"Part One","W SPRINGFIELD ST",42.33930275,-71.07912378,"(42.33930275, -71.07912378)","Roxbury"
"47982","I152055700",3125,"Warrant Arrests","WARRANT ARREST","C11",244,"","7/6/15 11:00",2015,7,"Monday",11,"Part Three","MAYFIELD ST",42.31650496,-71.05803929,"(42.31650496, -71.05803929)","Dorchester"
"32606","I152072782",522,"Residential Burglary","BURGLARY - RESIDENTIAL - NO FORCE","D4",626,"","9/1/15 10:23",2015,9,"Tuesday",10,"Part One","PETERBOROUGH ST",42.34280177,-71.1006951,"(42.34280177, -71.10069510)","Fenway"
"16152","I152090638",3803,"Motor Vehicle Accident Response","M/V ACCIDENT - PERSONAL INJURY","E5",560,"","11/1/15 12:36",2015,11,"Sunday",12,"Part Three","CUMMINS HWY",42.28516313,-71.12610546,"(42.28516313, -71.12610546)","Roslindale"
"25559","I152080451",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","D4",NA,"","9/26/15 7:50",2015,9,"Saturday",7,"Part One","",NA,NA,"(0.00000000, 0.00000000)","0"
"14215","I152092793",617,"Larceny","LARCENY THEFT FROM BUILDING","B2",286,"","11/8/15 13:44",2015,11,"Sunday",13,"Part One","SOJOURNER TRUTH CT",42.3346586,-71.08469354,"(42.33465860, -71.08469354)","Roxbury"
"14287","I152092712",3801,"Motor Vehicle Accident Response","M/V ACCIDENT - OTHER","C6",177,"","11/8/15 4:04",2015,11,"Sunday",4,"Part Three","MASSACHUSETTS AVE",42.32980081,-71.06939695,"(42.32980081, -71.06939695)","Roxbury"
"23194","I152082981",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","B3",457,"","10/5/15 18:30",2015,10,"Monday",18,"Part One","DRUMMOND ST",42.30066767,-71.08422846,"(42.30066767, -71.08422846)","Dorchester"
"24558","I152081490",520,"Residential Burglary","BURGLARY - RESIDENTIAL - FORCE","E13",577,"","9/30/15 9:00",2015,9,"Wednesday",9,"Part One","SCHOOL ST",42.31712353,-71.10144222,"(42.31712353, -71.10144222)","Jamaica Plain"
"34976","I152070148",724,"Auto Theft","AUTO THEFT","C11",334,"","8/23/15 18:00",2015,8,"Sunday",18,"Part One","WARE ST",42.31153823,-71.06623272,"(42.31153823, -71.06623272)","Dorchester"
"14491","I152092494",613,"Larceny","LARCENY SHOPLIFTING","C6",186,"","11/7/15 11:48",2015,11,"Saturday",11,"Part One","ALLSTATE RD",42.32696647,-71.06198607,"(42.32696647, -71.06198607)","Dorchester"
"17413","I152089244",2647,"Other","THREATS TO DO BODILY HARM","D4",903,"","10/27/15 20:28",2015,10,"Tuesday",20,"Part Two","SHAWMUT AVE",42.33543394,-71.08076738,"(42.33543394, -71.08076738)","Roxbury"
"12048","I152095239",413,"Aggravated Assault","ASSAULT - AGGRAVATED - BATTERY","E18",522,"","11/16/15 17:33",2015,11,"Monday",17,"Part One","HYDE PARK AVE",42.2518944,-71.1253531,"(42.25189440, -71.12535310)","Hyde Park"
"48928","I152054666",617,"Larceny","LARCENY THEFT FROM BUILDING","C6",213,"","7/1/15 20:00",2015,7,"Wednesday",20,"Part One","W THIRD ST",42.33737507,-71.04649644,"(42.33737507, -71.04649644)","South Boston"
"40503","I152064103",522,"Residential Burglary","BURGLARY - RESIDENTIAL - NO FORCE","D4",624,"","8/3/15 15:58",2015,8,"Monday",15,"Part One","BOYLSTON ST",42.34693807,-71.09266111,"(42.34693807, -71.09266111)","Fenway"
"34724","I152070423",3810,"Motor Vehicle Accident Response","M/V ACCIDENT - INVOLVING  BICYCLE - INJURY","B2",329,"","8/25/15 12:19",2015,8,"Tuesday",12,"Part Three","DEVON ST",42.30987217,-71.07959478,"(42.30987217, -71.07959478)","Dorchester"
"38126","I152066658",1402,"Vandalism","VANDALISM","B2",911,"","8/12/15 12:45",2015,8,"Wednesday",12,"Part Two","ANNUNCIATION RD",42.33506218,-71.09316781,"(42.33506218, -71.09316781)","Roxbury"
"20477","I152085924",3810,"Motor Vehicle Accident Response","M/V ACCIDENT - INVOLVING  BICYCLE - INJURY","A15",50,"","10/16/15 6:01",2015,10,"Friday",6,"Part Three","CAMBRIDGE ST",42.38356867,-71.0753672,"(42.38356867, -71.07536720)","Charlestown"
"17369","I152089290",2007,"Restraining Order Violations","VIOL. OF RESTRAINING ORDER W NO ARREST","B2",279,"","10/27/15 23:12",2015,10,"Tuesday",23,"Part Two","ZEIGLER ST",42.32907463,-71.08042043,"(42.32907463, -71.08042043)","Roxbury"
"31542","I152073938",3803,"Motor Vehicle Accident Response","M/V ACCIDENT - PERSONAL INJURY","A7",12,"","9/6/15 0:10",2015,9,"Sunday",0,"Part Three","WILLIAM F MCCLELLAN HWY",42.38831841,-71.01600449,"(42.38831841, -71.01600449)","East Boston"
"37001","I152067880",3502,"Missing Person Located","MISSING PERSON - LOCATED","C11",334,"","8/16/15 19:31",2015,8,"Sunday",19,"Part Three","HOWE ST",42.31136188,-71.0644231,"(42.31136188, -71.06442310)","Dorchester"
"21069","I152085283",540,"Commercial Burglary","BURGLARY - COMMERICAL - FORCE","B3",421,"","10/14/15 0:01",2015,10,"Wednesday",0,"Part One","MORTON ST",42.2806123,-71.08350146,"(42.28061230, -71.08350146)","Dorchester"
"40632","I152063972",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","D4",620,"","8/3/15 8:35",2015,8,"Monday",8,"Part One","EDGERLY RD",42.34478782,-71.08740728,"(42.34478782, -71.08740728)","Back Bay"
"30575","I152074984",616,"Larceny","LARCENY THEFT OF BICYCLE","A15",50,"","9/9/15 18:39",2015,9,"Wednesday",18,"Part One","CAMBRIDGE ST",42.38378962,-71.07480607,"(42.38378962, -71.07480607)","Charlestown"
"43204","I152061099",3803,"Motor Vehicle Accident Response","M/V ACCIDENT - PERSONAL INJURY","B3",468,"","7/24/15 8:28",2015,7,"Friday",8,"Part Three","FOTTLER RD",42.279225,-71.09460271,"(42.27922500, -71.09460271)","Mattapan"
"37544","I152067282",2629,"Harassment","HARASSMENT","C6",914,"","7/1/15 0:00",2015,7,"Wednesday",0,"Part Two","GENERAL LAWRENCE J LOGAN ",42.32828842,-71.05529696,"(42.32828842, -71.05529696)","Dorchester"
"33753","I152071537",3830,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PERSONAL INJURY","B3",463,"","8/28/15 20:33",2015,8,"Friday",20,"Part Three","AMERICAN LEGION HWY",42.29588434,-71.092206,"(42.29588434, -71.09220600)","#N/A"
"18891","I152087656",3114,"Investigate Property","INVESTIGATE PROPERTY","B2",297,"","10/22/15 8:45",2015,10,"Thursday",8,"Part Three","MILLS ST",42.32130608,-71.08343731,"(42.32130608, -71.08343731)","Dorchester"
"11284","I152096047",3115,"Investigate Person","INVESTIGATE PERSON","C11",344,"","11/19/15 12:36",2015,11,"Thursday",12,"Part Three","WESTVILLE ST",42.30093971,-71.06762824,"(42.30093971, -71.06762824)","Dorchester"
"16579","I152090173",3304,"Assembly or Gathering Violations","NOISY PARTY/RADIO-NO ARREST","B2",602,"","10/31/15 0:10",2015,10,"Saturday",0,"Part Three","WORTHINGTON ST",42.33409703,-71.10226374,"(42.33409703, -71.10226374)","Mission Hill"
"44196","I152059993",2907,"Violations","VAL - OPERATING AFTER REV/SUSP.","D4",152,"","7/20/15 17:01",2015,7,"Monday",17,"Part Two","TREMONT ST",42.34316129,-71.0731346,"(42.34316129, -71.07313460)","South End"
"45932","I152058074",2647,"Other","THREATS TO DO BODILY HARM","E18",515,"","7/14/15 8:44",2015,7,"Tuesday",8,"Part Two","NEPONSET AVE",42.24633401,-71.11662451,"(42.24633401, -71.11662451)","Hyde Park"
"26801","I152079096",3801,"Motor Vehicle Accident Response","M/V ACCIDENT - OTHER","C11",339,"","9/22/15 22:09",2015,9,"Tuesday",22,"Part Three","HIGH ST",42.30948988,-71.06108147,"(42.30948988, -71.06108147)","Dorchester"
"44983","I152055753",1402,"Vandalism","VANDALISM","B2",319,"","7/3/15 18:00",2015,7,"Friday",18,"Part Two","ELM HILL AVE",42.30959552,-71.08745409,"(42.30959552, -71.08745409)","Roxbury"
"25902","I152080055",1201,"Embezzlement","EMBEZZLEMENT","A1",94,"","9/25/15 20:46",2015,9,"Friday",20,"Part Two","COMMERCIAL ST",42.3604985,-71.05371784,"(42.36049850, -71.05371784)","Downtown"
"36717","I152068205",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","D4",166,"","8/17/15 18:00",2015,8,"Monday",18,"Part One","WASHINGTON ST",42.34028574,-71.07145449,"(42.34028574, -71.07145449)","Roxbury"
"28078","I152077705",3201,"Property Lost","PROPERTY - LOST","B2",282,"","9/18/15 16:32",2015,9,"Friday",16,"Part Three","WASHINGTON ST",42.32866284,-71.08563401,"(42.32866284, -71.08563401)","Roxbury"
"3833","I152104342",3410,"Towed","TOWED MOTOR VEHICLE","A7",30,"","12/18/15 12:03",2015,12,"Friday",12,"Part Three","ORLEANS ST",42.37004744,-71.03610951,"(42.37004744, -71.03610951)","East Boston"
"26028","I152079929",3109,"Police Service Incidents","SERVICE TO OTHER PD INSIDE OF MA.","E13",579,"","9/25/15 14:26",2015,9,"Friday",14,"Part Three","CENTRE ST",42.32281495,-71.10057355,"(42.32281495, -71.10057355)","Jamaica Plain"
"52653","I152050357",3304,"Assembly or Gathering Violations","NOISY PARTY/RADIO-NO ARREST","B2",605,"","6/18/15 1:23",2015,6,"Thursday",1,"Part Three","SHEPHERD AVE",42.33297808,-71.10905423,"(42.33297808, -71.10905423)","Mission Hill"
"43406","I152060867",3115,"Investigate Person","INVESTIGATE PERSON","A7",14,"","7/23/15 13:39",2015,7,"Thursday",13,"Part Three","WORDSWORTH ST",42.38492212,-71.0174635,"(42.38492212, -71.01746350)","East Boston"
"41488","I152063002",1845,"Drug Violation","DRUGS - POSS CLASS D","D4",NA,"","7/30/15 17:43",2015,7,"Thursday",17,"Part Two","",NA,NA,"(0.00000000, 0.00000000)","0"
"47485","I152056288",617,"Larceny","LARCENY THEFT FROM BUILDING","D4",270,"","6/15/15 10:30",2015,6,"Monday",10,"Part One","HARRISON AVE",42.33455374,-71.07560801,"(42.33455374, -71.07560801)","Roxbury"
"47626","I152056122",1402,"Vandalism","VANDALISM","C11",362,"","7/7/15 13:30",2015,7,"Tuesday",13,"Part Two","LYNDHURST ST",42.29290563,-71.06955795,"(42.29290563, -71.06955795)","Dorchester"
"14536","I152092448",3114,"Investigate Property","INVESTIGATE PROPERTY","D4",133,"","11/7/15 8:41",2015,11,"Saturday",8,"Part Three","COMMONWEALTH AVE",42.35199294,-71.07706785,"(42.35199294, -71.07706785)","Back Bay"
"17533","I152089120",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","A1",78,"","10/27/15 13:22",2015,10,"Tuesday",13,"Part Three","CONGRESS ST",42.36156104,-71.05758234,"(42.36156104, -71.05758234)","Downtown"
"51465","I152051806",522,"Residential Burglary","BURGLARY - RESIDENTIAL - NO FORCE","D4",624,"","6/22/15 8:00",2015,6,"Monday",8,"Part One","BOYLSTON ST",42.3454472,-71.09459824,"(42.34544720, -71.09459824)","Fenway"
"26503","I152079413",3115,"Investigate Person","INVESTIGATE PERSON","D4",273,"","9/24/15 0:15",2015,9,"Thursday",0,"Part Three","SHAWMUT AVE",42.33632386,-71.07956047,"(42.33632386, -71.07956047)","Roxbury"
"37783","I152067025",1501,"Firearm Violations","WEAPON - FIREARM - CARRYING / POSSESSING, ETC","B2",NA,"","8/13/15 17:03",2015,8,"Thursday",17,"Part Two","BIRD ST",NA,NA,"(0.00000000, 0.00000000)","0"
"22763","I152083437",3119,"Firearm Discovery","FIREARM/WEAPON - FOUND OR CONFISCATED","C6",226,"","10/7/15 15:54",2015,10,"Wednesday",15,"Part Three","EMERSON ST",42.33447796,-71.03631533,"(42.33447796, -71.03631533)","South Boston"
"32953","I152072406",3801,"Motor Vehicle Accident Response","M/V ACCIDENT - OTHER","D4",136,"","8/31/15 18:05",2015,8,"Monday",18,"Part Three","FAIRFIELD ST",42.35105882,-71.08286169,"(42.35105882, -71.08286169)","Back Bay"
"413","I162003919",2647,"Other","THREATS TO DO BODILY HARM","A1",105,"","8/31/15 0:00",2015,8,"Monday",0,"Part Two","FRUIT ST",42.36240281,-71.06954652,"(42.36240281, -71.06954652)","Downtown"
"10762","I152096619",3114,"Investigate Property","INVESTIGATE PROPERTY","A1",70,"","11/21/15 9:37",2015,11,"Saturday",9,"Part Three","LOUISBURG SQ",42.3584724,-71.06861909,"(42.35847240, -71.06861909)","Beacon Hill"
"48182","I152055488",1402,"Vandalism","VANDALISM","E13",651,"","7/3/15 15:00",2015,7,"Friday",15,"Part Two","SOUTH ST",42.30362473,-71.11464272,"(42.30362473, -71.11464272)","Jamaica Plain"
"30571","I152074988",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","B3",420,"","9/9/15 17:55",2015,9,"Wednesday",17,"Part Two","LORNA RD",42.27974378,-71.08248818,"(42.27974378, -71.08248818)","Dorchester"
"42521","I152061893",2900,"Other","VAL - VIOLATION OF AUTO LAW - OTHER","C11",393,"","7/26/15 23:19",2015,7,"Sunday",23,"Part Two","DORCHESTER AVE",42.28807941,-71.0636517,"(42.28807941, -71.06365170)","Dorchester"
